event_date,event_type,surprise_direction,actual_value,forecast_value,surprise_pct,return_day_-2,return_day_-1,return_day_+0,return_day_+1,return_day_+2
2019-01-11,CPI,worse,2.00238,1.9,5.388421052631587,0.40980263439003295,0.45184451596929076,-0.014634296629478794,-0.5257562801876614,-0.5257562801876614
2019-01-30,FOMC,worse,2.4,0.09,2566.666666666667,-0.7846860505261399,-0.1456209694195909,0.47331379617900904,0.8597377892989533,0.0898635405495396
2019-02-13,CPI,better,1.48759,1.5,-0.8273333333333355,0.07090417596054,1.2890250202966858,0.3023976857468691,-0.26516238471793185,1.0878709851296353
2019-03-12,CPI,better,1.51886,1.6,-5.071249999999999,1.4666049353461608,1.4666049353461608,0.29533287823806376,0.6949618845646821,-0.08680432029370966
2019-03-20,FOMC,inline,2.41,2.4,0.4166666666666763,0.37059607153993035,-0.013060636653083879,-0.11741613764567616,1.085251555291178,-1.8974527826038257
2019-04-10,CPI,worse,1.88319,1.7999999999999998,4.621666666666672,0.10474498226595852,-0.6067470828139077,0.34778681120144483,0.003808587325715429,0.6609378462220095
2019-05-01,FOMC,inline,2.45,2.41,1.6597510373443998,0.10714723049920494,0.0951400427450455,-0.8225971682304545,-0.21239991380873624,0.963832295922562
2019-05-10,CPI,better,2.00058,2.1,-4.734285714285727,-0.16053813214057522,-0.30214418181440106,0.3720321034444529,-2.4130630943291487,-2.4130630943291487
2019-06-12,CPI,better,1.79591,1.9,-5.47842105263158,0.46600819951694294,-0.03498768502769867,-0.20376197274856178,0.4097449858325275,-0.16115422390061696
2019-06-19,FOMC,inline,2.37,2.45,-3.265306122448982,0.09317695307899942,0.9717372571954597,0.3084875199659942,0.9472195075278522,-0.12592326804730103
2019-07-11,CPI,worse,1.67119,1.6,4.449374999999992,0.12365799156572876,0.4510627158405667,0.2285278994477169,0.46201386041582193,0.017585947169163063
2019-07-31,FOMC,inline,2.4,2.37,1.2658227848101182,-0.161606948107329,-0.2578641959370631,-1.0294283683892402,-0.8998852495319398,-0.7282736765124032
2019-08-13,CPI,worse,1.82633,1.7000000000000002,7.431176470588224,-1.2183715073749823,-1.2183715073749823,1.499432900117581,-2.929276360753441,0.2464268112370549
2019-09-12,CPI,better,1.73764,1.7999999999999998,-3.464444444444431,0.032231746255573235,0.7229667817909124,0.28791074766822966,-0.07243559711188619,-0.31356092824674775
2019-09-18,FOMC,inline,2.25,2.4,-6.2499999999999964,-0.31356092824674775,0.2581755593803692,0.22867657598495406,0.001995523375897257,-0.4895586322955614
2019-10-10,CPI,better,1.6845,1.7999999999999998,-6.416666666666651,-1.5560826054260457,0.9104546742895181,0.641570185654583,1.0938930544257763,-0.1387079289088211
2019-10-30,FOMC,better,1.82,2.25,-19.11111111111111,0.558137996062924,-0.08323956544341593,0.5853339671975322,-0.3022873403637272,0.9662360578885698
2019-11-13,CPI,worse,1.73397,1.7000000000000002,1.998235294117637,-0.19624452002533488,0.1564620781921544,0.07115504036430131,0.08370932502488326,0.7695462486638771
